Date,Log Source,Prompt Type,Time Prompt Shown/Received,Reboot/Countdown Target,Snooze Options Available,User Response,Time Response Sent,Time to Respond,SnoozeMinutes Sent,Exit Code,Actual Reboot Confirmed At,Notes
2026-07-29,UpdateNotifier-20260729.log,RebootRequired,14:14:17,,7,Snooze for 3 Hours,14:14:38,0:00:21,180,0,,Normal flow
2026-07-30,UpdateNotifier-20260730.log,RebootRequired,07:22:10,,6,Snooze for 3 Hours,07:22:20,0:00:10,180,0,,Normal flow
2026-07-30,UpdateNotifier-20260730.log,RebootRequired,10:22:20,,5,Reboot Now,10:54:26,0:32:06,0,0,2026-07-30 10:54:26,"User-initiated immediate reboot — legitimate, fully notified"
2026-08-03,UpdateNotifier-20260803.log,RebootRequired,07:24:58,,7,Reboot at 5:30 PM,07:25:59,0:01:01,-1,0,,Schedules reboot for 2026-08-03 17:30
2026-08-04,(none — notifier never connected),RebootImminent,N/A (never shown),2026-08-03 17:30:00,,NO PROMPT SHOWN,,,,,2026-08-04 03:06:47,"Service launched the notifier at 02:41:57 but it never connected to the pipe (no notifier log file was even created for this attempt). The service's 60-second connect wait actually ran ~21 minutes wall-clock before giving up — consistent with the machine stalling mid-sleep. Rebooted unattended with zero warning shown."
2026-08-07,UpdateNotifier-20260807.log,RebootRequired,04:50:22,,7,Reboot at 5:30 PM,06:50:21,1:59:59,-1,0,,Schedules reboot for 2026-08-07 17:30
2026-08-10,UpdateNotifier-20260810.log,RebootImminent (countdown) — STALE,09:56:42,2026-08-07 17:30:00 (~3d 16h stale),,CRASH — no user response,,,,1,2026-08-10 09:56:42,"Stale-countdown crash: 'countdown expired — closing' logged before 'shown'; InvalidOperationException in App.xaml.cs:223; service saw EndOfStreamException and rebooted unattended"
2026-08-13,UpdateNotifier-20260813.log,RebootRequired,10:29:37,,7,Reboot at 5:30 PM,10:31:16,0:01:39,-1,0,,Schedules reboot for 2026-08-13 17:30
2026-08-13,UpdateNotifier-20260813.log,RebootImminent (countdown) — TIMER DESYNC,17:25:00,2026-08-13 17:30:00,,Countdown ran but responded too late,17:45:41 (send failed),~0:20:41,0 (send failed),0,2026-08-13 17:45:35,"NEW failure mode, distinct from the known crash: the countdown window displayed successfully (no crash) but its own timer didn't detect expiry until 17:45:40 — over 15 minutes late. The service's own response-wait timer ran equally slow and timed out first (17:45:35), closing the pipe and rebooting before the notifier's late answer could be delivered (IOException: Pipe is broken on send). Exit code 0 because the notifier itself never crashed — its response was just too late to matter."
2026-08-17,UpdateNotifier-20260817.log,RebootRequired,10:35:41,,7,Reboot at 5:30 PM,10:36:54,0:01:13,-1,0,,Schedules reboot for 2026-08-17 17:30
2026-08-18,UpdateNotifier-20260818.log,RebootImminent (countdown) — STALE,08:02:44,2026-08-17 17:30:00 (~14h32m stale),,CRASH — no user response,,,,1,2026-08-18 08:02:45,Same stale-countdown crash pattern as 08-10
