Date,Log Source,Prompt Type,Time Prompt Shown/Received,Reboot/Countdown Target,Snooze Options Available,User Response,Time Response Sent,Time to Respond,SnoozeMinutes Sent,Exit Code,Notes
2026-07-30,UpdateNotifier-20260730.log,RebootRequired,08:56:12,,7,Snooze for 6 Hours,08:56:22,0:00:10,360,0,Normal flow
2026-07-30,UpdateNotifier-20260730.log,RebootRequired,14:56:23,,6,NO RESPONSE (abandoned),,,,,"Window opened but no decision was ever logged in this session; the next logged prompt (08-03) starts a brand-new session with the snooze count reset to 0, meaning this window was superseded/killed before the user responded"
2026-08-03,UpdateNotifier-20260803.log,RebootRequired,08:39:21,,7,Reboot at 5:30 PM,08:39:35,0:00:14,-1,0,Normal flow
2026-08-03,(none — expected but missing),RebootImminent,~17:25 (expected),2026-08-03 17:30:00,,NO PROMPT SHOWN,,,,,No UpdateNotifier log exists for the evening of 08-03; the countdown warning for the 5:30 PM reboot never reached the user that day
2026-08-10,UpdateNotifier-20260810.log,Connection Failed (no prompt shown),03:21:02,,,,,,,1,PipeClient connection timed out after 10s; retried ~11 min later
2026-08-10,UpdateNotifier-20260810.log,RebootRequired,03:32:40,,7,Reboot at 5:30 PM,08:33:01,5:00:21,-1,0,"Window sat open overnight; several 'move attempt blocked' / 'Topmost re-asserted' entries around 08:30-08:33 suggest the user was at the machine for a few minutes before finally responding"
2026-08-11,UpdateNotifier-20260811.log,RebootImminent (countdown) — STALE,11:43:23,2026-08-10 17:30:00 (~18h stale),,CRASH — no user response,,,,1,"Same stale-countdown crash as WHNW-LT02: CountdownWindow closed itself in its constructor (target already ~18 hours past) before ShowDialog() ran, throwing InvalidOperationException in App.xaml.cs:223. Service treated the failed pipe read as 'no response' and rebooted the machine unattended at 11:43:24 — confirmed in UpdateService-20260811.log."
2026-08-14,UpdateNotifier-20260814.log,Connection Failed (no prompt shown),13:49:00,,,,,,,1,PipeClient connection timed out after 10s; retried ~17s later
2026-08-14,UpdateNotifier-20260814.log,RebootRequired,13:49:17,,7,NO RESPONSE (abandoned),,,,,Window opened but no decision logged before the file ends; next logged session is the next day with the snooze count reset to 0
2026-08-15,UpdateNotifier-20260815.log,Connection Failed (no prompt shown),01:16:00,,,,,,,1,PipeClient connection timed out after 10s; retried ~1.5 min later
2026-08-15,UpdateNotifier-20260815.log,RebootRequired,01:17:48,,7,NO RESPONSE (abandoned),,,,,"Window opened overnight but no decision logged; superseded roughly 15 hours later by a fresh session (snooze count reset to 0), meaning it was killed/replaced, not answered"
2026-08-15,UpdateNotifier-20260815.log,RebootRequired,16:09:41,,7,NO RESPONSE (abandoned),,,,,Window opened but no decision logged before the file ends
2026-08-16,UpdateNotifier-20260816.log,Connection attempt — HUNG,03:12:57,,,,,,,(none logged),"Notifier began connecting to the pipe but never logged a timeout, error, or exit; superseded ~2.5 hours later by a fresh launch attempt. Worth investigating — this is not the normal 10s-timeout failure pattern."
2026-08-16,UpdateNotifier-20260816.log,Connection attempt — HUNG,05:43:20,,,,,,,(none logged),Same hung-connection pattern; superseded ~27 minutes later by another fresh launch attempt
2026-08-16,UpdateNotifier-20260816.log,Connection Failed (no prompt shown),06:10:40,,,,,,,1,PipeClient connection timed out after 10s; retried ~4 min later
2026-08-16,UpdateNotifier-20260816.log,RebootRequired,06:14:54,,7,NO RESPONSE (abandoned),,,,,Window opened early morning but no decision logged; superseded ~11.5 hours later by a fresh session
2026-08-16,UpdateNotifier-20260816.log,RebootRequired,17:49:18,,7,NO RESPONSE (abandoned),,,,,Window opened but no decision logged before the file ends
2026-08-17,UpdateNotifier-20260817.log,Connection Failed (no prompt shown),08:04:13,,,,,,,1,PipeClient connection timed out after 10s; retried ~1.5 min later
2026-08-17,UpdateNotifier-20260817.log,RebootRequired,08:05:44,,7,Reboot at 5:30 PM,08:29:55,0:24:11,-1,0,Normal flow
2026-08-17,UpdateNotifier-20260817.log,RebootImminent (countdown) — STALE,17:44:32,2026-08-17 17:30:00 (~14m stale),,CRASH — no user response,,,,1,"Same stale-countdown crash, but this time the delay was only ~14 minutes (not multi-day) — confirms the bug can trigger from routine timing slack, not just extended sleep. Reboot proceeded unattended at 17:44:33 — confirmed in UpdateService-20260817.log."
