Date,Log Source,Prompt Type,Time Prompt Shown/Received,Reboot/Countdown Target,Snooze Options Available,User Response,Time Response Sent,Time to Respond,SnoozeMinutes Sent,Exit Code,Notes
2026-07-29,UpdateNotifier-20260729.log,RebootRequired,14:04:31,,7,Snooze for 6 Hours,14:10:36,0:06:05,360,0,Normal flow
2026-07-31,UpdateNotifier-20260731.log,Connection Failed (no prompt shown),16:03:01,,,,,,,1,PipeClient connection to service timed out after 10s; notifier exited without showing a prompt; service/notifier retried ~9 min later
2026-07-31,UpdateNotifier-20260731.log / UpdateNotifier-20260803.log,RebootRequired,16:12:49,,6,Snooze for 3 Hours,2026-08-03 10:07:49,~65:55:00 (2d 17h55m),180,0,"Window opened 07-31 and stayed on screen (Topmost re-asserted, close attempts blocked) for almost 3 days before the user responded"
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,10:05:50,,5,Reboot at 5:30 PM,10:06:00,0:00:10,-1,0,User deferred to the scheduled 5:30 PM reboot rather than snoozing
2026-08-06,UpdateNotifier-20260806.log,RebootImminent (countdown),17:25:09,2026-08-06 17:30:00,,Delay 5 minutes,17:25:12,0:00:03,5,0,Countdown warning shown 5 min before scheduled reboot; user requested a 5-min delay
2026-08-10,UpdateNotifier-20260810.log,Connection Failed (no prompt shown),03:00:06,,,,,,,1,PipeClient connection timed out after 10s; retried ~3 min later
2026-08-10,UpdateNotifier-20260810.log,RebootRequired,03:02:59,,7,Reboot at 5:30 PM,08:13:01,5:10:02,-1,0,"Pkgs=0 (reboot pending from a prior update, no new packages this cycle); window sat open overnight before user responded"
2026-08-10,UpdateNotifier-20260810.log,RebootImminent (countdown),17:25:00,2026-08-10 17:30:00,,Delay 5 minutes,17:25:03,0:00:03,5,0,Same pattern as 08-06
2026-08-14,UpdateNotifier-20260814.log,Connection Failed (no prompt shown),03:00:10,,,,,,,1,PipeClient connection timed out after 10s
2026-08-14,UpdateNotifier-20260814.log,Connection Failed (no prompt shown),09:16:18,,,,,,,1,"Second consecutive connection timeout; service log shows it retried launching the notifier every ~16 min from 00:00 to 09:20 (no interactive user session available until then)"
2026-08-14,UpdateNotifier-20260814.log,RebootRequired,09:20:12,,7,Reboot at 5:30 PM,09:20:22,0:00:10,-1,0,Third attempt succeeded
2026-08-14,(none — expected but missing),RebootImminent (countdown),~17:25 (expected),2026-08-14 17:30:00,,NO PROMPT SHOWN,,,,,"No UpdateNotifier log exists for the evening of 08-14; the imminent/countdown warning for the 5:30 PM reboot never reached the user that day"
2026-08-17,UpdateNotifier-20260817.log,RebootImminent (countdown) — STALE,10:46:34,2026-08-14 17:30:00 (3 days stale),,CRASH — no user response,,,,1,"The missed 08-14 RebootImminent message was finally delivered 3 days late. The countdown window immediately reported 'expired' and the app then tried to ShowDialog() on the already-closed window, throwing System.InvalidOperationException in App.xaml.cs:223 (RunCountdownModeAsync). Notifier crashed and exited with code 1 without any user interaction or response sent to the service."
